Month,Product_Line,Cost_Category,Budget_EUR,Actual_EUR,Variance_EUR,Variance_Pct,Over_Budget
2024-09,Sealing Systems,Logistics,9500,9289.18,-210.82,-2.22,No
2024-09,Welding Components,Logistics,7800,7803.38,3.38,0.04,Yes
2024-10,Sealing Systems,Raw Materials,45000,44875.05,-124.95,-0.28,No
2024-10,Welding Components,Raw Materials,38000,39034.7,1034.7,2.72,Yes
2024-10,Sealing Systems,Direct Labor,28000,26986.19,-1013.81,-3.62,No
2024-10,Welding Components,Direct Labor,24000,22396.07,-1603.93,-6.68,No
2024-10,Sealing Systems,Machine Overhead,18000,18090.53,90.53,0.5,Yes
2024-10,Welding Components,Machine Overhead,15000,14833.99,-166.01,-1.11,No
2024-10,Sealing Systems,Packaging,8000,8492.04,492.04,6.15,Yes
2024-10,Welding Components,Packaging,6500,6888.83,388.83,5.98,Yes
2024-10,Sealing Systems,Quality Inspection,5000,4899.22,-100.78,-2.02,No
2024-10,Welding Components,Quality Inspection,4200,4258.36,58.36,1.39,Yes
2024-10,Sealing Systems,Logistics,9500,10322.11,822.11,8.65,Yes
2024-10,Welding Components,Logistics,7800,8261.53,461.53,5.92,Yes
2024-11,Sealing Systems,Raw Materials,45000,45708.78,708.78,1.58,Yes
2024-11,Welding Components,Raw Materials,38000,38089.78,89.78,0.24,Yes
2024-11,Sealing Systems,Direct Labor,28000,26850.08,-1149.92,-4.11,No
2024-11,Welding Components,Direct Labor,24000,22716.42,-1283.58,-5.35,No
2024-11,Sealing Systems,Machine Overhead,18000,17640.51,-359.49,-2.0,No
2024-11,Welding Components,Machine Overhead,15000,14943.12,-56.88,-0.38,No
2024-11,Sealing Systems,Packaging,8000,8246.23,246.23,3.08,Yes
2024-11,Welding Components,Packaging,6500,6936.57,436.57,6.72,Yes
2024-11,Sealing Systems,Quality Inspection,5000,5189.36,189.36,3.79,Yes
2024-11,Welding Components,Quality Inspection,4200,4339.3,139.3,3.32,Yes
2024-11,Sealing Systems,Logistics,9500,10150.28,650.28,6.85,Yes
2024-11,Welding Components,Logistics,7800,8217.11,417.11,5.35,Yes
2024-12,Sealing Systems,Raw Materials,45000,46020.63,1020.63,2.27,Yes
2024-12,Welding Components,Raw Materials,38000,39019.04,1019.04,2.68,Yes
2024-12,Sealing Systems,Direct Labor,28000,25879.91,-2120.09,-7.57,No
2024-12,Welding Components,Direct Labor,24000,22663.19,-1336.81,-5.57,No
2024-12,Sealing Systems,Machine Overhead,18000,17702.29,-297.71,-1.65,No
2024-12,Welding Components,Machine Overhead,15000,15270.45,270.45,1.8,Yes
2024-12,Sealing Systems,Packaging,8000,8525.07,525.07,6.56,Yes
2024-12,Welding Components,Packaging,6500,6760.88,260.88,4.01,Yes
2024-12,Sealing Systems,Quality Inspection,5000,4987.64,-12.36,-0.25,No
2024-12,Welding Components,Quality Inspection,4200,4220.92,20.92,0.5,Yes
2024-12,Sealing Systems,Logistics,9500,10126.08,626.08,6.59,Yes
2024-12,Welding Components,Logistics,7800,8598.3,798.3,10.23,Yes
